,question,category
109,What has happened since last year's earnings?,
110,What event occurred after the shepherds and farmer took shelter?,
111,What event might have happened before the claim?,uncertain
112,"According to the President, what will not happen after Annan's suggestion?","opinion,neg"
113,What was happening while Annan made a suggestion?,overlap
114,What happened before the IBM spokeswoman said something?,
115,What started before the investigation?,begin
116,What happened after Abu Marzuk was arrested in 1995?,
117,What events began after Netanyahu's office made a statement?,begin
118,What was happening when Slepian was chatting?,overlap
119,What did Kabila's forces say happened after Thursday?,"restrict participants,opinion"
120,What happened while the spokesperson said something?,overlap
121,What event will begin after Lavrov was quoted? ,begin
122,What will happen at the same time a UN resolution on Iran's nuclear programme is discussed?,overlap
123,What happened before reports were made?,
124,What may happen after the deadline?,uncertain
125,What happened before it was reported in 1993?,
126,What is already happening according to Obama's opinion?,overlap
127,What happened after Hussey was bowled for the third time in the series?,
128,What happened before Ng's remarks?,
129,What does Kenya want to prepare to meet in the future?,restrict participants
130,What definitely happened before scientists found a unique honeyeater bird species?,uncertain
131,What occured after the concerns over stagnant personal spending?,
132,What happened after the result?,
133,What happened after the bomb attacks took place?,
134,What happened after the men won the event over the 2000 Champions?,
135,What will likely happen after Steve feels like he was too high?,uncertain
136,What started before authorities spent hours retrieving documents?,begin
137,What was happening during this week?,overlap
138,What started before he said?,begin
139,What event happened after a bomb exploded?,
140,What might happen after obliging Beijing?,uncertain
141,What happened after the offer?,
142,What happened after the announcement?,
143,What happened before one of the cubs was crushed??,
144,What should happen in the future according to Obama's opinion?,opinion
145,What will happen after the regulations according to UNOS?,
146,What may happen after Iran's warning to Germany?,uncertain
147,What happened before someone fell ill?,
148,What will definitely happen after the failure happened?,"uncertain,neg"
149,What had to happen before the annual resolution?,hypo
150,What event will likely happen but hasn't yet?,"uncertain,neg,composition"
151,What happened before the officials discussed their strategy?,
152,What should happen before promoting?,hypo
153,What happened while the plane crashed?,overlap
154,What has happened during the past ten years?,overlap
155,What will happen after the list was compiled?,
156,What happened while riot police deployed in Lagos?,overlap
157,What usually happens after common shares are acquired?,repetitive
158,What happened before security was tightened?,
159,What happened after Annan made a suggestion?,
160,What started before something was invaded?,begin
161,What proceeded the meeting's start?,
162,What happened after Chavez hailed the victories?,
163,What happened before the inspection was abandoned?,
164,What happened after Chulanont listed?,
165,What happened after 31 panda cubs were born?,
166,What happened before riot police deployed in Lagos?,
167,What happened after the army sent in the bulldozers again on Thursday?,
168,What started after the wins?,begin
169,What happened after something was sold illegally?,
170,What happens after having a big computer?,
171,What event might happen after the energy company stopped something?,"uncertain,neg"
172,What happened during destroyed?,overlap
173,What happened before the children were paralyzed?,
174,What happened before the people were reinfected?,
175,"What happened before Hewlett-Packard bought 730,070 Octel shares?",
176,What had started before the massive protests?,begin
177,What happened after the apology included an offer of compensation?,
178,What happened after Paula Clennell went missing?,
179,What happened after it was reported in 1993?,
180,What happened after something was added?,
181,What happened after the events on board the Mavi Marmara?,
182,What will happen after efforts?,
183,What would happen before a test?,
184,What would happen after the committee set standards?,
185,What will happen during the short term?,overlap
186,What happened after Nzambo told?,
187,What must the company do with the trials before they can put the vaccine into production?,hypo
188,What happened after import?,
189,What will happen after give?,
190,What event happened after Wednesday?,
191,What is likely to happen after initiatives?,uncertain
192,What happened before three Israeli women were killed by a suicide bomber?,
193,What happened after Operation Winter Race was designed?,
194,What happened after Priebke confessed?,
195,What event will begin after the competition?,begin
196,What happened before Honore's department started contact with French prosecutors?,begin
197,What will happen after the takeover battle?,
198,What started before the crackdown?,begin
199,What started before something was added?,begin
